GENE	sumZ	numObs	normZ	pval_synth	rank_synth	fdr_synth	pval_supp	rank_supp	fdr_supp
SCAND1	-36.71	5	-14.02	5.51e-45	1	9.92e-41	1	18001	1
PIGO	-30.11	5	-11.48	8.69e-31	2	7.82e-27	1	18000	1
C19orf38	-27.81	5	-10.59	1.74e-26	3	1.04e-22	1	17999	1
MICA	-26.91	5	-10.24	6.72e-25	4	3.02e-21	1	17998	1
B3GAT3	-26.64	5	-10.13	1.96e-24	5	7.07e-21	1	17997	1
CA7	-26.42	5	-10.05	4.65e-24	6	1.39e-20	1	17996	1
ECEL1	-25.35	5	-9.64	2.78e-22	7	7.15e-19	1	17995	1
MAPT	-25.09	5	-9.54	7.33e-22	8	1.65e-18	1	17994	1
TPO	-24.48	5	-9.30	6.94e-21	9	1.39e-17	1	17993	1
C19orf73	-24.23	5	-9.20	1.72e-20	10	3.09e-17	1	17992	1
TMEM218	-23.91	5	-9.08	5.44e-20	11	8.91e-17	1	17991	1
T	-22.87	5	-8.68	1.98e-18	12	2.98e-15	1	17990	1
PANK2	-21.25	5	-8.05	4.07e-16	13	5.63e-13	1	17989	1
FAM163B	-21.10	5	-8.00	6.38e-16	14	8.2e-13	1	17988	1
UNC13D	-20.80	5	-7.88	1.67e-15	15	2e-12	1	17987	1
PPIL3	-22.51	6	-7.78	3.59e-15	16	4.04e-12	1	17986	1
ELL2	-20.45	5	-7.74	4.8e-15	17	5.08e-12	1	17985	1
UBR2	-20.33	5	-7.70	6.96e-15	18	6.65e-12	1	17984	1
ALDH7A1	-20.33	5	-7.70	7.02e-15	19	6.65e-12	1	17983	1
FTSJ1	-19.88	5	-7.53	2.63e-14	20	2.37e-11	1	17982	1
CPNE9	-19.67	5	-7.44	4.86e-14	21	4.17e-11	1	17981	1
TRIM58	-19.56	5	-7.40	6.76e-14	22	5.53e-11	1	17980	1
ERP27	-19.46	5	-7.36	9.09e-14	23	7.11e-11	1	17979	1
PTPRR	-19.20	5	-7.26	1.89e-13	24	1.42e-10	1	17978	1
GUCA1A	-18.68	5	-7.06	8.38e-13	25	6.03e-10	1	17977	1
FAM213B	-18.63	5	-7.04	9.53e-13	26	6.6e-10	1	17976	1
FCRL3	-18.60	5	-7.03	1.03e-12	27	6.85e-10	1	17975	1
VSIG10L	-18.35	5	-6.93	2.05e-12	28	1.32e-09	1	17974	1
CLSTN3	-17.99	5	-6.79	5.45e-12	29	3.39e-09	1	17973	1
ABCD1	-17.92	5	-6.77	6.59e-12	30	3.95e-09	1	17972	1
ZNF507	-17.87	5	-6.75	7.47e-12	31	4.34e-09	1	17971	1
TNFRSF9	-17.72	5	-6.69	1.11e-11	32	6.24e-09	1	17970	1
AKT1	-17.64	5	-6.66	1.39e-11	33	7.57e-09	1	17969	1
MAB21L2	-17.42	5	-6.57	2.46e-11	34	1.3e-08	1	17968	1
ZNF747	-15.57	4	-6.57	2.52e-11	35	1.3e-08	1	17967	1
C6orf222	-17.38	5	-6.56	2.73e-11	36	1.36e-08	1	17966	1
ATP5O	-16.93	5	-6.39	8.48e-11	37	4.13e-08	1	17965	1
