id	num	neg|score	neg|p-value	neg|fdr	neg|rank	neg|goodsgrna	neg|lfc	pos|score	pos|p-value	pos|fdr	pos|rank	pos|goodsgrna	pos|lfc
SCAND1	5	1.3474e-16	2.7501e-07	0.000101	1	5	-2.6584	1.0	1.0	1.0	18001	0	-2.6584
CA7	5	7.6615e-15	2.7501e-07	0.000101	2	5	-2.0468	1.0	1.0	1.0	18000	0	-2.0468
C19orf38	5	1.3493e-14	2.7501e-07	0.000101	3	5	-2.0138	1.0	1.0	1.0	17999	0	-2.0138
TMEM218	5	1.1503e-13	2.7501e-07	0.000101	4	5	-1.5774	1.0	1.0	1.0	17998	0	-1.5774
C19orf73	5	1.3943e-13	2.7501e-07	0.000101	5	5	-1.5377	1.0	1.0	1.0	17997	0	-1.5377
B3GAT3	5	3.7508e-13	2.7501e-07	0.000101	6	5	-1.978	0.99996	0.99997	1.0	17944	0	-1.978
T	5	6.0154e-13	2.7501e-07	0.000101	7	5	-1.8748	1.0	1.0	1.0	17996	0	-1.8748
PIGO	5	1.766e-12	2.7501e-07	0.000101	8	5	-2.8944	1.0	1.0	1.0	17994	0	-2.8944
TPO	5	4.4898e-12	2.7501e-07	0.000101	9	5	-1.8076	1.0	1.0	1.0	17983	0	-1.8076
MAB21L2	5	9.218e-12	2.7501e-07	0.000101	10	5	-1.1893	1.0	1.0	1.0	17995	0	-1.1893
MICA	5	1.4226e-11	2.7501e-07	0.000101	11	5	-2.3388	1.0	1.0	1.0	17993	0	-2.3388
ABCD1	5	2.8157e-11	2.7501e-07	0.000101	12	5	-1.4345	1.0	1.0	1.0	17992	0	-1.4345
ECEL1	5	3.0043e-11	2.7501e-07	0.000101	13	5	-2.3336	1.0	1.0	1.0	17991	0	-2.3336
FAM163B	5	3.1579e-11	2.7501e-07	0.000101	14	5	-1.428	1.0	1.0	1.0	17990	0	-1.428
PTPRR	5	3.5924e-11	2.7501e-07	0.000101	15	5	-1.3199	0.99999	0.99999	1.0	17955	0	-1.3199
TRIM58	5	4.9065e-11	2.7501e-07	0.000101	16	5	-1.303	1.0	1.0	1.0	17989	0	-1.303
FAM213B	5	5.187e-11	2.7501e-07	0.000101	17	5	-1.3642	1.0	1.0	1.0	17963	0	-1.3642
VSIG10L	5	1.1002e-10	2.7501e-07	0.000101	18	5	-1.2108	1.0	1.0	1.0	17968	0	-1.2108
FTSJ1	5	1.5081e-10	2.7501e-07	0.000101	19	5	-1.469	1.0	1.0	1.0	17988	0	-1.469
UNC13D	5	1.6795e-10	2.7501e-07	0.000101	20	5	-1.4085	1.0	1.0	1.0	17987	0	-1.4085
APOE	5	1.74e-10	2.7501e-07	0.000101	21	5	-1.1206	1.0	1.0	1.0	17986	0	-1.1206
ZNF747	4	2.3407e-10	2.7501e-07	0.000101	22	4	-1.3676	1.0	1.0	1.0	17985	0	-1.3676
CPNE9	5	3.3215e-10	2.7501e-07	0.000101	23	5	-1.7925	1.0	1.0	1.0	17984	0	-1.7925
GNLY	5	4.696e-10	2.7501e-07	0.000101	24	5	-1.7087	1.0	1.0	1.0	17982	0	-1.7087
ERP27	5	5.1713e-10	2.7501e-07	0.000101	25	5	-1.2753	1.0	1.0	1.0	17980	0	-1.2753
MAPT	5	5.3584e-10	2.7501e-07	0.000101	26	5	-2.6889	0.99998	0.99998	1.0	17947	0	-2.6889
CHTF8	5	7.6759e-10	2.7501e-07	0.000101	27	5	-1.1985	1.0	1.0	1.0	17981	0	-1.1985
PANK2	5	8.9831e-10	2.7501e-07	0.000101	28	5	-1.9628	0.99999	0.99999	1.0	17952	0	-1.9628
DCK	5	2.1996e-09	2.7501e-07	0.000101	29	5	-1.461	1.0	1.0	1.0	17979	0	-1.461
TXNDC2	6	2.2833e-09	2.7501e-07	0.000101	30	6	-1.093	1.0	1.0	1.0	17974	0	-1.093
C6orf222	5	2.9025e-09	2.7501e-07	0.000101	31	5	-1.4217	1.0	1.0	1.0	17978	0	-1.4217
TNFSF14	5	3.2056e-09	2.7501e-07	0.000101	32	5	-0.83469	0.9985	0.9985	1.0	17888	0	-0.83469
ADCY9	5	3.7528e-09	2.7501e-07	0.000101	33	5	-1.3604	0.99752	0.99751	1.0	17864	0	-1.3604
ELL2	5	3.8503e-09	2.7501e-07	0.000101	34	5	-2.3206	1.0	1.0	1.0	17958	0	-2.3206
CLSTN3	5	4.4032e-09	2.7501e-07	0.000101	35	5	-1.3915	1.0	1.0	1.0	17972	0	-1.3915
FCRL3	5	9.2167e-09	2.7501e-07	0.000101	36	5	-2.0384	1.0	1.0	1.0	17977	0	-2.0384
AKT1	5	9.9718e-09	2.7501e-07	0.000101	37	5	-1.739	1.0	0.99999	1.0	17956	0	-1.739
NPTN	5	1.0641e-08	2.7501e-07	0.000101	38	5	-1.3695	1.0	1.0	1.0	17976	0	-1.3695
TNFRSF9	5	1.2078e-08	2.7501e-07	0.000101	39	5	-1.9196	1.0	1.0	1.0	17975	0	-1.9196
ZNF507	5	1.4451e-08	2.7501e-07	0.000101	40	5	-1.6576	0.99984	0.99985	1.0	17931	0	-1.6576
UBR2	5	1.931e-08	2.7501e-07	0.000101	41	5	-2.0762	1.0	1.0	1.0	17973	0	-2.0762
ZHX3	5	2.1608e-08	2.7501e-07	0.000101	42	5	-0.94384	1.0	1.0	1.0	17964	0	-0.94384
EMILIN1	5	2.4287e-08	2.7501e-07	0.000101	43	5	-1.2045	0.99971	0.99971	1.0	17924	0	-1.2045
PPIL3	6	3.2013e-08	2.7501e-07	0.000101	44	6	-2.5444	0.99931	0.99932	1.0	17909	0	-2.5444
IFI6	5	3.8262e-08	2.7501e-07	0.000101	45	5	-1.4474	0.99998	0.99998	1.0	17948	0	-1.4474
RNF25	5	4.4892e-08	2.7501e-07	0.000101	46	5	-1.0324	0.99966	0.99966	1.0	17921	0	-1.0324
GUCA1A	5	9.4992e-08	2.7501e-07	0.000101	47	5	-1.6796	1.0	1.0	1.0	17969	0	-1.6796
SERTAD1	5	1.1162e-07	2.7501e-07	0.000101	48	5	-0.69591	1.0	1.0	1.0	17971	0	-0.69591
FNIP1	5	1.2154e-07	2.7501e-07	0.000101	49	5	-1.3452	0.99906	0.99907	1.0	17900	0	-1.3452
PTPRB	5	1.4023e-07	8.2504e-07	0.00027	50	5	-1.4169	0.99986	0.99987	1.0	17933	0	-1.4169
JMJD7	5	1.8673e-07	8.2504e-07	0.00027	51	5	-1.0369	0.99996	0.99996	1.0	17943	0	-1.0369
MPC2	5	1.8975e-07	8.2504e-07	0.00027	52	5	-1.0482	1.0	1.0	1.0	17959	0	-1.0482
CDK10	5	1.9779e-07	8.2504e-07	0.00027	53	4	-0.82351	0.99479	0.99482	1.0	17806	0	-0.82351
ZNF671	5	2.0095e-07	8.2504e-07	0.00027	54	5	-1.0572	1.0	1.0	1.0	17970	0	-1.0572
ALDH7A1	5	2.4553e-07	8.2504e-07	0.00027	55	5	-1.8358	1.0	1.0	1.0	17967	0	-1.8358
SRGN	5	3.9811e-07	1.3751e-06	0.000434	56	5	-1.3877	1.0	1.0	1.0	17966	0	-1.3877
G6PC3	5	4.0849e-07	1.3751e-06	0.000434	57	5	-1.3503	0.99992	0.99993	1.0	17940	0	-1.3503
KAZN	5	5.3668e-07	1.9251e-06	0.000587	58	5	-1.085	1.0	1.0	1.0	17965	0	-1.085
TTC7B	5	6.5161e-07	2.4751e-06	0.000743	59	5	-1.1262	0.99998	0.99998	1.0	17950	0	-1.1262
VANGL1	5	9.3345e-07	4.1252e-06	0.001198	60	5	-1.1029	0.99674	0.99674	1.0	17842	0	-1.1029
NOS3	5	9.5529e-07	4.1252e-06	0.001198	61	5	-0.89057	1.0	1.0	1.0	17962	0	-0.89057
PRCD	2	1.3053e-06	1.9251e-06	0.000587	62	2	-1.4578	1.0	1.0	1.0	17961	0	-1.4578
EBF2	4	1.624e-06	4.6752e-06	0.001336	63	4	-0.74645	1.0	1.0	1.0	17960	0	-0.74645
FAT4	5	4.4929e-06	1.8426e-05	0.005183	64	5	-0.80591	1.0	0.99999	1.0	17957	0	-0.80591
LRRC27	5	5.8112e-06	2.4476e-05	0.006778	65	4	-0.99496	0.99572	0.99572	1.0	17822	0	-0.99496
ATP5O	5	6.0155e-06	2.5851e-05	0.007051	66	5	-2.1619	0.99999	0.99999	1.0	17954	0	-2.1619
MICALL1	5	7.173e-06	3.3276e-05	0.00894	67	5	-0.76811	0.9999	0.9999	1.0	17938	0	-0.76811
MNS1	5	7.2437e-06	3.3827e-05	0.008955	68	5	-1.3848	0.99989	0.9999	1.0	17937	0	-1.3848
